angle,action,timestamp
0,pressed,1489796823.926439
-1,pressed,1489796824.774757
-1,released,1489796824.865812
1,pressed,1489796825.428141
1,released,1489796825.550196
-1,pressed,1489796825.830229
-1,released,1489796825.934704
1,pressed,1489796826.710249
1,released,1489796826.903283
-1,pressed,1489796827.217715
-1,released,1489796827.367119
1,pressed,1489796827.772207
1,released,1489796827.959488
1,pressed,1489796828.110209
1,released,1489796828.609456
1,pressed,1489796828.874676
1,released,1489796829.799116
1,pressed,1489796830.12983
1,released,1489796830.2682
1,pressed,1489796830.439768
1,released,1489796830.528509
1,pressed,1489796830.767316
1,released,1489796831.387388
1,pressed,1489796831.662066
1,released,1489796831.811065
1,pressed,1489796831.988657
1,released,1489796832.270057
1,pressed,1489796832.524761
1,released,1489796832.653133
-1,pressed,1489796833.125
-1,released,1489796833.561394
-1,pressed,1489796833.768587
-1,released,1489796833.937741
-1,pressed,1489796834.111633
-1,released,1489796834.277192
1,pressed,1489796834.584178
1,released,1489796834.704379
1,pressed,1489796834.911005
1,released,1489796835.615904
1,pressed,1489796835.755496
1,released,1489796836.493603
1,pressed,1489796836.890315
1,released,1489796836.998977
1,pressed,1489796837.203558
1,released,1489796837.280035
1,pressed,1489796837.445346
1,released,1489796837.913757
1,pressed,1489796838.129151
1,released,1489796838.802671
1,pressed,1489796839.081829
1,released,1489796839.4181
-1,pressed,1489796840.345427
-1,released,1489796840.423204
1,pressed,1489796840.791088
1,released,1489796840.847707
-1,pressed,1489796841.769788
-1,released,1489796841.86962
1,pressed,1489796842.233424
1,released,1489796842.331486
1,pressed,1489796842.688407
1,released,1489796842.933667
1,pressed,1489796843.121474
1,released,1489796843.49113
1,pressed,1489796843.679299
1,released,1489796844.445712
1,pressed,1489796844.648402
1,released,1489796844.904422
1,pressed,1489796845.117886
1,released,1489796845.253813
1,pressed,1489796845.470762
1,released,1489796845.965475
1,pressed,1489796846.150112
1,released,1489796846.316746
1,pressed,1489796846.518944
1,released,1489796846.952422
-1,pressed,1489796847.531373
-1,released,1489796847.646346
-1,pressed,1489796847.960801
-1,released,1489796848.190453
-1,pressed,1489796848.408373
-1,released,1489796848.589659
1,pressed,1489796849.302089
1,released,1489796849.633065
1,pressed,1489796849.860373
1,released,1489796850.535578
1,pressed,1489796850.690479
1,released,1489796851.105151
1,pressed,1489796851.132794
1,released,1489796851.282299
1,pressed,1489796851.748148
1,released,1489796851.892414
1,pressed,1489796852.082596
1,released,1489796852.198692
1,pressed,1489796852.354815
1,released,1489796852.877663
1,pressed,1489796853.100555
1,released,1489796853.42364
1,pressed,1489796853.63729
1,released,1489796853.981145
-1,pressed,1489796854.691277
-1,released,1489796854.822819
1,pressed,1489796855.001126
1,released,1489796855.2603
-1,pressed,1489796855.479607
-1,released,1489796855.560828
1,pressed,1489796855.801102
1,released,1489796855.906966
-1,pressed,1489796856.446552
-1,released,1489796856.52023
1,pressed,1489796857.080599
1,released,1489796857.247656
1,pressed,1489796857.454365
1,released,1489796857.647931
1,pressed,1489796858.161053
1,released,1489796859.082497
1,pressed,1489796859.620568
